An error occured during the payment process:,An error occured during the payment process:
Customer canceled the payment process,Customer canceled the payment process
Customer was redirected to iPay88.,Customer was redirected to iPay88.
Incorrect data was submitted,Incorrect data was submitted
Payment Failed or Cancelled,Payment Failed or Cancelled
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
iPay88 Transaction ID: %s,iPay88 Transaction ID: %s
You will be redirected to iPay88 (Mobile88.com) secure payment page when you place an order.,You will be redirected to iPay88 (Mobile88.com) secure payment page when you place an order.
Shopping basket,Shopping basket
Payment has not been processed yet.,Payment has not been processed yet.
Merchant Code,Merchant Code
Displayed Text,Displayed Text
Enabled,Enabled
New order status,New order status
Payment from Specific countries,Payment from Specific countries
Payment from applicable countries,Payment from applicable countries
Merchant Key,Merchant Key
Sort order,Sort order
Payment Name to Customers,Payment Name to Customers
iPay88 Account Settings,iPay88 Account Settings
Redirecting to secure payment page powered by iPay88…,Redirecting to secure payment page powered by iPay88...
"Apologies. Your payment was not successful. If there is an error on our end, kindly email us the following details for verification.","Apologies. Your payment was not successful. If there is an error on our end, kindly email us the following details for verification."
